,Area,NHL,NBA,NFL,MLB
0,New York City,0.5182014205986808,0.34750000000000003,0.2815,0.546
1,Los Angeles,0.622894633764199,0.4695,0.7815,0.5289999999999999
2,Chicago,0.4583333333333333,0.329,0.75,0.483
3,Dallas–Fort Worth,0.5675675675675675,0.293,0.625,0.414
28,Houston,,0.7929999999999999,0.688,0.636
4,San Francisco Bay Area,0.625,0.7070000000000001,0.25,0.525
5,"Washington, D.C.",0.6533333333333333,0.524,0.43799999999999994,0.506
6,Philadelphia,0.6176470588235294,0.634,0.563,0.494
7,Miami–Fort Lauderdale,0.5945945945945946,0.537,0.43799999999999994,0.391
8,Toronto,0.6533333333333333,0.72,,0.451
29,Atlanta,,0.293,0.43799999999999994,0.556
9,Boston,0.7142857142857143,0.6709999999999999,0.688,0.667
10,Phoenix,0.4142857142857143,0.256,0.188,0.506
11,Detroit,0.43478260869565216,0.476,0.375,0.395
12,Montreal,0.42028985507246375,,,
42,Seattle,,,0.625,0.5489999999999999
13,Minneapolis–Saint Paul,0.6338028169014085,0.573,0.531,0.48100000000000004
48,San Diego,,,,0.40700000000000003
14,Tampa Bay Area,0.7012987012987013,,0.313,0.556
15,Denver,0.589041095890411,0.561,0.375,0.5579999999999999
16,St. Louis,0.5789473684210527,,,0.5429999999999999
43,Baltimore,,,0.625,0.29
30,Charlotte,,0.439,0.43799999999999994,
17,Vancouver,0.4366197183098591,,,
31,Orlando,,0.305,,
32,San Antonio,,0.573,,
33,Portland,,0.598,,
18,Pittsburgh,0.618421052631579,,0.594,0.509
34,Sacramento,,0.329,,
44,Cincinnati,,,0.375,0.414
19,Las Vegas,0.68,,,
45,Kansas City,,,0.75,0.358
35,Cleveland,,0.61,0.469,0.562
20,Columbus,0.6,,,
36,Indianapolis,,0.585,0.625,
21,Nashville,0.7464788732394366,,0.563,
37,Milwaukee,,0.537,,0.589
46,Jacksonville,,,0.313,
22,Calgary,0.5138888888888888,,,
38,Oklahoma City,,0.585,,
39,Memphis,,0.268,,
23,Ottawa,0.39436619718309857,,,
24,Edmonton,0.4736842105263158,,,
25,Raleigh,0.5070422535211268,,,
40,New Orleans,,0.585,0.813,
41,Salt Lake City,,0.585,,
26,Buffalo,0.35714285714285715,,0.375,
27,Winnipeg,0.7222222222222222,,,
47,Green Bay,,,0.406,
